,job_title,working_type,salary_from,salary_to,experience
0,"Ночной оператор колл-центра на входящие звонки (без продаж, возможно удаленно)",полная занятость,47000.0,47000.0,без опыта
1,Оператор call-центра (исходящая линия),полная занятость,40000.0,40000.0,без опыта
2,Удаленный оператор колл-центра на входящие звонки (без продаж),полная занятость,32000.0,32000.0,без опыта
3,"Менеджер по продаже, удаленный (онлайн-школа, инфобизнес)",полная занятость,70000.0,70000.0,1-3 года
4,Упаковщик-комплектовщик на склад (Екатеринбург),работа вахтовым методом,100000.0,100000.0,без опыта
5,Бухгалтер по банковским операциям,полная занятость,50000.0,50000.0,1-3 года
6,Стажер (риэлтор),полная занятость,45000.0,45000.0,без опыта
7,Сотрудник в цех по производству теста / тестомес,полная занятость,40000.0,40000.0,без опыта
8,Помощник начальника отделения,полная занятость,18000.0,18000.0,без опыта
9,Оклейщик поролона,полная занятость,50000.0,50000.0,1-3 года
10,"Водитель электроштабелера (Обь, 3307 км)",полная занятость,98500.0,98500.0,без опыта
11,Сборщик-администратор (пр.Космонавтов),полная занятость,45977.0,45977.0,без опыта
12,Агент по недвижимости,полная занятость,100000.0,100000.0,без опыта
13,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
14,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
15,Автослесарь,полная занятость,70000.0,70000.0,1-3 года
16,"Товаровед интернет-магазина (ул. Терешковой, 4)",полная занятость,46399.0,46399.0,без опыта
17,Инспектор отдела кадров,полная занятость,60000.0,60000.0,1-3 года
18,Менеджер по продажам,полная занятость,,,1-3 года
19,Офис-менеджер в контакт-центр,полная занятость,35000.0,35000.0,1-3 года
20,Оператор call-центра (подработка),частичная занятость,15000.0,15000.0,без опыта
21,Водитель категории Е,полная занятость,138000.0,138000.0,без опыта
22,Кладовщик-комплектовщик,полная занятость,87000.0,87000.0,без опыта
23,Визитный мерчендайзер,полная занятость,50000.0,50000.0,без опыта
24,Менеджер по продажам в розницу,полная занятость,60000.0,60000.0,1-3 года
25,"Ночной оператор колл-центра на входящие звонки (без продаж, возможно удаленно)",полная занятость,47000.0,47000.0,без опыта
26,Оператор call-центра (исходящая линия),полная занятость,40000.0,40000.0,без опыта
27,Удаленный оператор колл-центра на входящие звонки (без продаж),полная занятость,32000.0,32000.0,без опыта
28,Водитель автопогрузчика,полная занятость,40000.0,40000.0,1-3 года
29,Менеджер по работе с действующими клиентами (доставка + доп. продажи),полная занятость,,,без опыта
30,"Менеджер по продаже, удаленный (онлайн-школа, инфобизнес)",полная занятость,70000.0,70000.0,1-3 года
31,Упаковщик-комплектовщик на склад (Екатеринбург),работа вахтовым методом,100000.0,100000.0,без опыта
32,Бухгалтер по банковским операциям,полная занятость,50000.0,50000.0,1-3 года
33,Стажер (риэлтор),полная занятость,45000.0,45000.0,без опыта
34,Сотрудник в цех по производству теста / тестомес,полная занятость,40000.0,40000.0,без опыта
35,Помощник начальника отделения,полная занятость,18000.0,18000.0,без опыта
36,Оклейщик поролона,полная занятость,50000.0,50000.0,1-3 года
37,"Водитель электроштабелера (Обь, 3307 км)",полная занятость,98500.0,98500.0,без опыта
38,Сборщик-администратор (пр.Космонавтов),полная занятость,45977.0,45977.0,без опыта
39,Агент по недвижимости,полная занятость,100000.0,100000.0,без опыта
40,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
41,Начинающий технический специалист,полная занятость,42000.0,42000.0,без опыта
42,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
43,Автослесарь,полная занятость,70000.0,70000.0,1-3 года
44,"Товаровед интернет-магазина (ул. Терешковой, 4)",полная занятость,46399.0,46399.0,без опыта
45,Инспектор отдела кадров,полная занятость,60000.0,60000.0,1-3 года
46,Менеджер по продажам,полная занятость,,,1-3 года
47,Офис-менеджер в контакт-центр,полная занятость,35000.0,35000.0,1-3 года
