filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
airplane14.jpg,122021,{},1,0,"{""name"":""rect"",""x"":19,""y"":161,""width"":1168,""height"":677}","{""label"":""plane""}"
2127812.jpg,8453,{},3,1,"{""name"":""rect"",""x"":170,""y"":73,""width"":29,""height"":17}","{""label"":""ship""}"
2122710.jpg,8598,{},3,1,"{""name"":""rect"",""x"":102,""y"":77,""width"":69,""height"":25}","{""label"":""ship""}"
airplane5.jpg,74573,{},1,0,"{""name"":""rect"",""x"":7,""y"":307,""width"":1169,""height"":599}","{""label"":""plane""}"
2144601.jpg,5738,{},2,1,"{""name"":""rect"",""x"":105,""y"":33,""width"":100,""height"":19}","{""label"":""ship""}"
2144601.jpg,5738,{},2,0,"{""name"":""rect"",""x"":5,""y"":29,""width"":90,""height"":23}","{""label"":""ship""}"
2144973.jpg,6258,{},3,1,"{""name"":""rect"",""x"":140,""y"":92,""width"":52,""height"":29}","{""label"":""ship""}"
2122710.jpg,8598,{},3,2,"{""name"":""rect"",""x"":5,""y"":42,""width"":186,""height"":50}","{""label"":""ship""}"
airplane9.jpg,268249,{},1,0,"{""name"":""rect"",""x"":9,""y"":122,""width"":1177,""height"":989}","{""label"":""plane""}"
2143199.jpg,9786,{},1,0,"{""name"":""rect"",""x"":5,""y"":21,""width"":198,""height"":92}","{""label"":""ship""}"
2123631.jpg,9028,{},2,1,"{""name"":""rect"",""x"":12,""y"":45,""width"":84,""height"":50}","{""label"":""ship""}"
2129132.jpg,8600,{},2,0,"{""name"":""rect"",""x"":19,""y"":57,""width"":168,""height"":39}","{""label"":""ship""}"
2139689.jpg,9457,{},3,2,"{""name"":""rect"",""x"":62,""y"":79,""width"":46,""height"":20}","{""label"":""ship""}"
2143208.jpg,13747,{},1,0,"{""name"":""rect"",""x"":7,""y"":53,""width"":193,""height"":41}","{""label"":""ship""}"
2136335.jpg,8395,{},2,0,"{""name"":""rect"",""x"":11,""y"":49,""width"":120,""height"":71}","{""label"":""ship""}"
2128735.jpg,6352,{},2,1,"{""name"":""rect"",""x"":10,""y"":55,""width"":34,""height"":24}","{""label"":""ship""}"
airplane23.jpg,200791,{},1,0,"{""name"":""rect"",""x"":16,""y"":386,""width"":1159,""height"":400}","{""label"":""plane\n""}"
2145067.jpg,10713,{},2,0,"{""name"":""rect"",""x"":61,""y"":50,""width"":142,""height"":40}","{""label"":""ship""}"
airplane18.jpg,195895,{},1,0,"{""name"":""rect"",""x"":30,""y"":212,""width"":955,""height"":615}","{""label"":""plane""}"
2125162.jpg,6851,{},1,0,"{""name"":""rect"",""x"":9,""y"":34,""width"":181,""height"":69}","{""label"":""ship""}"
2139308.jpg,7527,{},2,1,"{""name"":""rect"",""x"":134,""y"":12,""width"":72,""height"":89}","{""label"":""ship""}"
2139689.jpg,9457,{},3,0,"{""name"":""rect"",""x"":10,""y"":51,""width"":105,""height"":52}","{""label"":""ship""}"
2128735.jpg,6352,{},2,0,"{""name"":""rect"",""x"":44,""y"":41,""width"":161,""height"":47}","{""label"":""ship""}"
2144973.jpg,6258,{},3,0,"{""name"":""rect"",""x"":6,""y"":87,""width"":128,""height"":36}","{""label"":""ship""}"
2125171.jpg,7293,{},3,0,"{""name"":""rect"",""x"":82,""y"":29,""width"":122,""height"":73}","{""label"":""ship""}"
airplane10.jpg,245030,{},1,0,"{""name"":""rect"",""x"":9,""y"":326,""width"":1182,""height"":557}","{""label"":""plane""}"
2145067.jpg,10713,{},2,1,"{""name"":""rect"",""x"":10,""y"":45,""width"":47,""height"":42}","{""label"":""ship""}"
airplane2.jpg,88911,{},1,0,"{""name"":""rect"",""x"":16,""y"":253,""width"":1168,""height"":869}","{""label"":""plane""}"
2127812.jpg,8453,{},3,2,"{""name"":""rect"",""x"":121,""y"":79,""width"":13,""height"":12}","{""label"":""ship""}"
2139308.jpg,7527,{},2,0,"{""name"":""rect"",""x"":7,""y"":43,""width"":161,""height"":59}","{""label"":""ship""}"
2145674.jpg,9521,{},1,0,"{""name"":""rect"",""x"":30,""y"":27,""width"":176,""height"":62}","{""label"":""ship""}"
2125171.jpg,7293,{},3,1,"{""name"":""rect"",""x"":5,""y"":31,""width"":98,""height"":63}","{""label"":""ship""}"
airplane6.jpg,238454,{},1,0,"{""name"":""rect"",""x"":15,""y"":46,""width"":1161,""height"":923}","{""label"":""plane""}"
2129132.jpg,8600,{},2,1,"{""name"":""rect"",""x"":190,""y"":78,""width"":18,""height"":16}","{""label"":""ship""}"
